MT-TF	
MT-RNR1	
MT-TV	
MT-RNR2	
MT-TL1	
MT-ND1	
MT-TI	
MT-TQ	
MT-TM	
MT-ND2	
MT-TW	
MT-TA	
MT-TN	
MT-TC	
MT-TY	
MT-CO1	
MT-TS1	
MT-TD	
MT-CO2	
MT-TK	
MT-ATP8	
MT-ATP6	
MT-CO3	
MT-TG	
MT-ND3	
MT-TR	
MT-ND4L	
MT-ND4	
MT-TH	
MT-TS2	
MT-TL2	
MT-ND5	
MT-ND6	
MT-TE	
MT-CYB	
MT-TT	
MT-TP	
AC138894.3	
OR7A1P	
AL451046.1	
AC008885.2	
PPIAP19	
LINC02190	
AC113430.1	
DND1P1	
AC008782.1	
SMIM12P1	
AC073641.1	
AC215996.1	
AC068418.2	
OR9G2P	
AL118557.1	
BPIFB9P	
SNX18P3	
AC090616.2	
AC104078.2	
LINC01231	
CAHM	
SNX18P3	
LINC01376	
AC021016.2	
AC090099.2	
CCDC58P1	
SNX19P1	
BPIFB9P	
MAS1L	NM_052967
AC090616.2	
AC068418.1	
CLDN3	NM_001306
LINC02324	
LINC01543	
BCLAF1P1	
VN1R48P	
CHST14	NM_130468
AC116562.2	
OR5G1P	
AL355076.3	
AP001180.3	
OR7A1P	
RPL21P120	
DUXAP2	
VN1R65P	
LINC01376	
AL137025.1	
TRAJ22	
CEACAMP10	
AL390726.5	
LINC01376	
LINC00824	
OR5G4P	
NACAP1	
AL390726.5	
AC233702.5	
LINC00824	
CEACAMP10	
LINC01376	
AF038458.3	
NACAP1	
LINC01887	
TRAJ21	
AF038458.1	
AC106730.2	
TAF9BP2	
FGF16	NM_003868
AP001208.1	
AC010395.1	
AC090616.5	
LINC01887	
ARMCX6	
PSG9	
AC010395.2	
CST2	NM_001322
AC090616.5	
TMEM244	NM_001010876
CHST14	
TRAJ20	
C5orf15	NM_020199
LINC00824	
GPBAR1	NM_001321950
AL355076.2	
AL161752.1	
MRPL44	NM_022915
RPS17P1	
RPL5P16	
OR4K11P	
AL161752.1	
AL355076.2	
XKR3	NM_001318251
XKR3	NM_175878
FRG2KP	
LINC00824	
CHEK2P2	
KCNK9	
TMEM244	
PTGDR	NM_000953
OR5G5P	
ARMCX6	NM_019007
LINC00824	
CHEK2P2	
AC010678.1	
LINC01674	
AC087239.1	
FRG2KP	
KCNK9	
RPL21P7	
TRAJ19	
LINC00824	
C5orf15	
CHEK2P2	
AC126544.1	
AP000648.3	
AC008885.1	
KCNK9	
AL356585.4	
OR5G5P	
C5orf15	
TRERNA1	
GPBAR1	NM_001077191
TRAJ18	
PTGDR	NM_001281469
KCNK9	
ZNF736P8Y	
RAX2	NM_032753
YBX3P1	
PTBP1P	
RPL31P3	
GPBAR1	NM_001077194
GPBAR1	NM_170699
ARMCX6	
TRAJ17	
OR5G5P	
ARMCX6	
AL355076.1	
OR5G5P	
LINC01338	
CT45A2	NM_152582
GPBAR1	
TRAJ16	
ARMCX6	
BPY2DP	
KCNK9	NM_001282534
OR5G3	
ARMCX6	
OR4D12P	
ZNF720P1	
AC233702.9	
ARMCX6	NM_001009584
PRR3	NM_025263
ARMCX6	NM_001184768
RAX2	NM_001319074
LINC02322	
AC233702.9	
KCNK9	
CT45A2	
ZNF736P7Y	
TSPYL4	NM_021648
CA15P1	
AC233702.6	
PRR3	NM_001077497
AC233702.6	
AC108174.1	
RPL23AP97	
OFD1P11Y	
AL365475.1	
UBE2J1	NM_016021
C17orf51	
OCM	
AC027338.2	
C17orf51	
UNC93B4	
ANKRD18A	
CD99L2	
AP001208.2	
ST13P12	
OR7E99P	
CKS1BP7	
CSNK1G2-AS1	
OCM	NM_001097622
RP9P	
SACS-AS1	
RP9P	
ZNF736P9Y	
RPLP1P13	
CSNK1G2-AS1	
GRIN2D	NM_000836
AL356417.2	
TRAJ14	
PTGER2	
AC027338.1	
AL356417.2	
AC011257.1	
FNDC1-IT1	
AL390719.1	
AL390719.1	
PRR3	
PPIAP9	
CCDC26	
C17orf51	NM_001113434
AC016576.1	
AL390719.1	
CCDC26	
PLEKHG4B	
AC104118.1	
AC016576.1	
CCDC26	
PTGER2	NM_000956
PRR3	
TRAJ13	
CCDC26	
PLEKHG4B	
C17orf51	
PRR3	
CCDC26	
C17orf51	
PRR3	
AC090527.1	
CCDC26	
AL035079.1	
AC022367.1	
AC233702.8	
AC022367.1	
PLEKHG4B	
CCDC26	
OR7E43P	
AC233702.7	
CIR1P3	
AC092451.2	
SACS	
PLEKHG4B	NM_052909
AC233702.3	
TRAJ12	
AC092451.3	
CST5	NM_001900
CCDC26	
AC092451.1	
PSG9	
ANKRD18A	NM_147195
TUBB4BP1	
RPL15P4	
AL390719.1	
FHL5	
ILF3	
NPM3	NM_006993
ANKRD18A	
CCDC26	
AL390719.1	
TMEM245	NM_032012
PROP1	NM_006261
DTHD1	
AL390719.1	
AP001207.1	
ARMC8P1	
CCDC26	
ZNF704	NM_001033723
FAM110C	NM_001077710
AL645608.9	
CCDC26	
AP001207.2	
DTHD1	NM_001136536
FAM201A	
ISM1	NM_080826
FAM110C	
ZNF704	
CCDC26	
AKAP1	
AP001207.3	
ZNF704	
CCDC26	
DTHD1	
FAM201A	
CCDC26	
FAM110C	
TMEM245	
ISM1-AS1	
ZNF704	
CSTP1	
DTHD1	
CCDC26	
TMEM245	
AL050320.1	
RNMTL1P2	
FAM201A	
NPM3	
ZNF704	
AC103833.1	
ZNF704	
DTHD1	
NPM3	
AC080080.2	
