AADAT	NM_001286682
AAK1	NM_014911
AASDH	NM_001286668
AASS	NM_005763
AATF	NM_012138
ABAT	NM_000663
ABCA10	NM_080282
ABCA12	NM_015657
ABCA13	NM_152701
ABCA2	NM_001606
ABCA8	NM_001288985
ABCC1	NM_004996
ABCC4	NM_001105515
ABCC5	NM_001023587
ABCD3	NM_001122674
ABCD4	NM_001353595
ABCF1	NM_001025091
ABCF2	NM_005692
ABCF3	NM_001351298
ABCG2	NM_001257386
ABCG4	NM_001142505
ABHD10	NM_001272069
ABHD14A-ACY1	NM_001316331
ABHD2	NM_007011
ABHD3	NM_001308256
ABHD5	NM_016006
ABL2	NM_001136000
ABLIM2	NM_001130083
ABT1	NM_013375
ACAD9	NM_014049
ACADL	NM_001608
ACADM	NM_000016
ACADS	NM_000017
ACAP2	NM_012287
ACAT1	NM_000019
ACBD3	NM_022735
ACBD5	NM_001042473
ACBD6	NM_032360
ACCS	NM_001127219
ACE	NM_000789
ACER2	NM_001010887
ACER3	NM_001300953
ACO1	NM_001278352
ACOT2	NM_006821
ACOT7	NM_007274
ACOX3	NM_001101667
ACOXL	NM_001142807
ACP6	NM_001323625
ACSF3	NM_001127214
ACSL1	NM_001286708
ACSL3	NM_001354158
ACTB	NM_001101
ACTBL2	NM_001017992
ACTG1	NM_001199954
ACTN1	NM_001102
ACTN2	NM_001103
ACTR10	NM_018477
ACTR1B	NM_005735
ACTR2	NM_001005386
ACTR3	NM_001277140
ACTR3B	NM_001040135
ACTR5	NM_024855
ACTR6	NM_022496
ACVR1B	NM_004302
ACY1	NM_000666
ADAD1	NM_001159285
ADAM10	NM_001110
ADAM19	NM_033274
ADAM22	NM_001324417
ADAM23	NM_003812
ADAMTS1	NM_006988
ADAMTS10	NM_001282352
ADAMTS17	NM_139057
ADAMTS19	NM_133638
ADAMTS6	NM_197941
ADAMTSL4	NM_001288607
ADAP2	NM_001346712
ADAR	NM_001025107
ADAT1	NM_001324444
ADCK1	NM_001142545
ADD2	NM_001185054
ADGRB2	NM_001294335
ADGRF3	NM_001145168
ADH5	NM_000671
ADI1	NM_001306077
ADIPOR1	NM_001290553
ADIPOR2	NM_024551
ADM	NM_001124
ADNP	NM_001282531
ADNP2	NM_014913
ADO	NM_032804
ADPGK	NM_031284
ADRA1B	NM_000679
ADRB1	NM_000684
ADRB2	NM_000024
ADSL	NM_000026
ADSS	NM_001126
ADSSL1	NM_001320424
AEBP2	NM_001114176
AEN	NM_022767
AFAP1	NM_001134647
AFAP1L1	NM_001146337
AFF1	NM_001166693
AFF3	NM_001025108
AFG3L2	NM_006796
AFTPH	NM_001002243
AGA	NM_000027
AGAP1	NM_001037131
AGBL3	NM_178563
AGBL4	NM_001323573
AGFG1	NM_001135187
AGFG2	NM_006076
AGGF1	NM_018046
AGK	NM_018238
AGL	NM_000028
AGPAT4	NM_020133
AGPAT5	NM_018361
AGPS	NM_003659
AGRN	NM_001305275
AHCYL2	NM_001130720
AHDC1	NM_001029882
AHNAK	NM_001346445
AHNAK2	NM_001350929
AHR	NM_001621
AIF1L	NM_001185095
AIG1	NM_001286587
AK1	NM_000476
AK2	NM_001199199
AK3	NM_001199852
AK7	NM_152327
AKAP1	NM_001242902
AKAP10	NM_007202
AKAP11	NM_016248
AKAP12	NM_005100
AKAP13	NM_001270546
AKIRIN1	NM_001136275
AKIRIN2	NM_018064
AKR1A1	NM_001202413
AKR1B1	NM_001628
AKT2	NM_001243027
ALAD	NM_000031
ALAS1	NM_000688
ALCAM	NM_001243280
ALDH18A1	NM_001017423
ALDH1A2	NM_001206897
ALDH1A3	NM_000693
ALDH1B1	NM_000692
ALDH1L2	NM_001034173
ALDH2	NM_000690
ALDH5A1	NM_001080
ALDH7A1	NM_001182
ALDH9A1	NM_000696
ALDOA	NM_000034
ALG10	NM_032834
ALG10B	NM_001013620
ALG14	NM_001305242
ALG6	NM_013339
ALG8	NM_001007027
ALG9	NM_001077690
ALKBH3	NM_139178
ALKBH5	NM_017758
ALKBH8	NM_001301010
ALMS1	NM_015120
ALOX5	NM_000698
ALPL	NM_000478
ALX1	NM_006982
AMACR	NM_001167595
AMD1	NM_001287214
AMN1	NM_001113402
AMOTL1	NM_001301007
AMOTL2	NM_001278683
AMPD2	NM_001257360
AMZ2	NM_001033569
ANAPC1	NM_022662
ANAPC4	NM_001286756
ANAPC7	NM_001137664
ANGEL1	NM_015305
ANGPT2	NM_001118887
ANK2	NM_001127493
ANKFN1	NM_153228
ANKFY1	NM_001257999
ANKHD1	NM_001197030
ANKLE2	NM_015114
ANKRD10	NM_001286721
ANKRD11	NM_001256182
ANKRD12	NM_001083625
ANKRD26	NM_001256053
ANKRD29	NM_001308238
ANKRD31	NM_001164443
ANKRD33B	NM_001164440
ANKRD36	NM_001164315
ANKRD36B	NM_025190
ANKRD46	NM_001270377
ANKRD50	NM_001167882
ANKS6	NM_173551
ANO10	NM_001204831
ANO5	NM_001142649
ANP32E	NM_001136478
ANTXR1	NM_018153
ANTXR2	NM_001145794
ANXA11	NM_001157
ANXA2	NM_001002857
ANXA3	NM_005139
ANXA4	NM_001153
ANXA5	NM_001154
ANXA6	NM_001155
ANXA7	NM_001156
AP1AR	NM_001128426
AP1B1	NM_001127
AP1G1	NM_001030007
AP1M1	NM_001130524
AP1S3	NM_001039569
AP2B1	NM_001030006
AP2M1	NM_001025205
AP2S1	NM_001301076
AP3B1	NM_001271769
AP3B2	NM_001278511
AP3M2	NM_001134296
AP3S2	NM_005829
APC	NM_000038
APH1B	NM_001145646
API5	NM_001142930
APLP2	NM_001142276
APOBEC3C	NM_014508
APOBEC3F	NM_001006666
APOBEC3G	NM_021822
APOC1	NM_001321065
APOL2	NM_030882
APP	NM_000484
APPBP2	NM_001282476
APPL2	NM_001251904
APTX	NM_001195248
AQP11	NM_173039
AQR	NM_014691
ARAP2	NM_015230
ARC	NM_015193
ARCN1	NM_001142281
ARF3	NM_001659
ARF4	NM_001660
ARF6	NM_001663
ARFGAP1	NM_001281482
ARFGAP3	NM_001142293
ARFGEF2	NM_006420
ARFGEF3	NM_020340
ARGLU1	NM_018011
ARHGAP10	NM_024605
ARHGAP11A	NM_001286479
ARHGAP11B	NM_001039841
ARHGAP12	NM_001270695
ARHGAP17	NM_001006634
ARHGAP18	NM_033515
ARHGAP19	NM_001204300
ARHGAP20	NM_001258415
ARHGAP21	NM_020824
ARHGAP24	NM_001025616
ARHGAP26	NM_001135608
ARHGAP27	NM_001282290
ARHGAP29	NM_004815
ARHGAP31	NM_020754
ARHGAP33	NM_001172630
ARHGEF16	NM_014448
ARHGEF18	NM_001130955
ARHGEF2	NM_001162383
ARHGEF3	NM_001128615
ARHGEF37	NM_001001669
ARID1A	NM_006015
ARID2	NM_152641
ARID3B	NM_001307939
ARID5A	NM_001319085
ARID5B	NM_001244638
ARIH1	NM_005744
ARL1	NM_001177
ARL15	NM_019087
ARL2BP	NM_012106
ARL4A	NM_001037164
ARL4C	NM_001282431
ARL4D	NM_001661
ARL5A	NM_001037174
ARL5B	NM_178815
ARL6	NM_001278293
ARL8A	NM_001256129
ARL8B	NM_018184
ARMC1	NM_001286702
ARMC2	NM_001286609
ARMC3	NM_001282745
ARMC4	NM_001290020
ARMC5	NM_001105247
ARMC9	NM_001271466
ARNT2	NM_014862
ARNTL2	NM_001248002
ARPC1A	NM_001190996
ARPC2	NM_005731
ARPC3	NM_001278556
ARPP19	NM_001306191
ARRB1	NM_004041
ARRDC2	NM_001025604
ARRDC3	NM_020801
ARRDC4	NM_183376
ARSA	NM_000487
ARSJ	NM_024590
ASAH1	NM_001127505
ASAH2B	NM_001079516
ASAP3	NM_001143778
ASB1	NM_001040445
ASB13	NM_024701
ASCC2	NM_001242906
ASCC3	NM_001284271
ASH2L	NM_001105214
ASL	NM_000048
ASNA1	NM_004317
ASNS	NM_001178075
ASNSD1	NM_001353497
ASPHD2	NM_020437
ASPM	NM_001206846
ASRGL1	NM_001083926
ASS1	NM_000050
ASXL1	NM_001164603
ASXL2	NM_018263
ATAD2	NM_014109
ATAD2B	NM_001242338
ATAD5	NM_024857
ATE1	NM_001001976
ATF1	NM_005171
ATF2	NM_001256090
ATF3	NM_001030287
ATF4	NM_001675
ATF6	NM_007348
ATF7	NM_001130060
ATF7IP	NM_001286514
ATG10	NM_001131028
ATG16L1	NM_001190266
ATG16L2	NM_001318766
ATG2A	NM_015104
ATG2B	NM_018036
ATG4C	NM_032852
ATG5	NM_001286106
ATG9A	NM_001077198
ATIC	NM_004044
ATL2	NM_001135673
ATMIN	NM_001300728
ATN1	NM_001007026
ATOX1	NM_004045
ATP11A	NM_015205
ATP11B	NM_014616
ATP13A2	NM_001141973
ATP1B2	NM_001303263
ATP1B3	NM_001679
ATP2A2	NM_001681
ATP2B4	NM_001001396
ATP6V0A1	NM_001130020
ATP6V0E1	NM_003945
ATP6V1B2	NM_001693
ATP6V1C1	NM_001695
ATP6V1F	NM_001198909
ATP6V1G1	NM_004888
ATP6V1H	NM_015941
ATP8A1	NM_001105529
ATP8B3	NM_001178002
ATP9B	NM_001306085
ATPAF1	NM_001042546
ATRN	NM_001207047
ATRNL1	NM_001276282
ATXN1	NM_000332
ATXN10	NM_001167621
ATXN2	NM_001310121
ATXN2L	NM_001308230
ATXN3	NM_001127696
ATXN7L1	NM_001318229
ATXN7L3B	NM_001136262
AURKB	NM_001256834
AVPR1B	NM_000707
AXIN2	NM_004655
AZI2	NM_001134432
AZIN1	NM_001301668
B2M	NM_004048
B3GALNT2	NM_001277155
B3GNT2	NM_001319075
B4GALNT2	NM_001159387
B4GALNT3	NM_173593
B4GALT1	NM_001497
B4GALT4	NM_003778
B4GALT5	NM_004776
B4GALT7	NM_007255
B9D1	NM_001243473
BACH1	NM_001186
BACH2	NM_001170794
BAG2	NM_004282
BAG3	NM_004281
BAK1	NM_001188
BAMBI	NM_012342
BANF2	NM_001014977
BANP	NM_001173539
BARD1	NM_000465
BASP1	NM_001271606
BATF2	NM_001300807
BATF3	NM_018664
BAX	NM_001291428
BAZ1A	NM_013448
BAZ1B	NM_032408
BBS10	NM_024685
BBS2	NM_031885
BBS5	NM_152384
BBS9	NM_001033604
BCAM	NM_001013257
BCAR3	NM_001261408
BCAS2	NM_005872
BCAS3	NM_001099432
BCAS4	NM_001010974
BCAT1	NM_001178091
BCDIN3D	NM_181708
BCKDHB	NM_000056
BCKDK	NM_001122957
BCL2L1	NM_001191
BCL2L11	NM_001204106
BCL2L13	NM_001270726
BCL6	NM_001130845
BCL7A	NM_001024808
BCL7B	NM_001197244
BCL7C	NM_001286526
BCL9	NM_004326
BCLAF1	NM_001077440
BCLAF3	NM_198279
BDKRB2	NM_000623
BDP1	NM_018429
BET1	NM_001317739
BFAR	NM_016561
BFSP2	NM_003571
BHLHE40	NM_003670
BHLHE41	NM_030762
BICC1	NM_001080512
BICD1	NM_001003398
BID	NM_001196
BIK	NM_001197
BIRC2	NM_001166
BIRC3	NM_001165
BIRC6	NM_016252
BLM	NM_000057
BLMH	NM_000386
BLVRA	NM_000712
BMP2K	NM_017593
BMP7	NM_001719
BMPR1B	NM_001203
BMPR2	NM_001204
BMS1	NM_014753
BNIP1	NM_001205
BNIP2	NM_001320674
BNIP3	NM_004052
BNIP3L	NM_001330491
BOD1	NM_001159651
BOLA1	NM_001321025
BOLA3	NM_001035505
BPGM	NM_001293085
BPTF	NM_004459
BRAF	NM_001354609
BRCA2	NM_000059
BRI3BP	NM_080626
BRMS1L	NM_032352
BRPF3	NM_015695
BRSK2	NM_001256627
BSN	NM_003458
BST2	NM_004335
BTAF1	NM_003972
BTBD1	NM_001011885
BTBD11	NM_001017523
BTBD2	NM_017797
BTBD3	NM_001282550
BTBD8	NM_015237
BTBD9	NM_001099272
BTF3	NM_001037637
BTG1	NM_001731
BTG2	NM_006763
BTG3	NM_001130914
BTN3A2	NM_001197246
BTRC	NM_001256856
BUB1	NM_001278616
BUB3	NM_001007793
BUD13	NM_001159736
BVES	NM_001199563
BZW1	NM_001207067
C10orf67	NM_153714
C10orf88	NM_024942
C11orf24	NM_001300913
C11orf58	NM_014267
C11orf65	NM_001330368
C12orf45	NM_152318
C12orf65	NM_001143905
C12orf66	NM_001300940
C12orf73	NM_001135570
C12orf75	NM_001145199
C14orf132	NM_001252507
C14orf28	NM_001017923
C15orf38-AP3S2	NM_001199058
C15orf39	NM_015492
C15orf61	NM_001143936
C16orf46	NM_001100873
C16orf72	NM_014117
C16orf87	NM_001001436
C17orf51	NM_001113434
C17orf58	NM_181655
C17orf75	NM_022344
C17orf97	NM_001013672
C18orf21	NM_001201474
C18orf25	NM_001008239
C19orf12	NM_001031726
C19orf48	NM_001290149
C19orf66	NM_001308277
C1D	NM_001190263
C1GALT1	NM_020156
C1orf115	NM_024709
C1orf159	NM_017891
C1orf174	NM_207356
C1orf21	NM_030806
C1orf52	NM_198077
C1orf53	NM_001024594
C1QTNF1	NM_030968
C1QTNF2	NM_031908
C1QTNF3	NM_030945
C20orf194	NM_001009984
C20orf96	NM_080571
C21orf91	NM_001100420
C2CD4A	NM_207322
C2orf42	NM_001348759
C2orf49	NM_001286537
C2orf68	NM_001013649
C2orf72	NM_001144994
