"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"NM_001298862.1"	693.170519440988	0.141842342973169	0.234703964591294	0.604345747717419	0.545613797076534	0.999972712909591
"NM_001298863.1"	220.506491424826	-0.0621186833352137	0.217361856108231	-0.285784656275124	0.775043060751717	0.999972712909591
"NM_135493.3"	0.238536127388786	-1.0643977467929	4.04930226136241	-0.262859544210655	0.792658839076531	0.999972712909591
"NM_135494.2"	1.25630318384458	-2.19830153976151	2.73923611767611	-0.802523566908313	0.422250161586306	0.999972712909591
"NM_135495.3"	0.709171667567943	0.781148281117057	3.08250855817129	0.253413175138263	0.799948947577675	0.999972712909591
"NM_001298864.1"	0.109719363094414	-0.281171445618475	4.0804728567969	-0.0689065839882071	0.945063977713966	0.999972712909591
"NM_057693.5"	653.913639380822	0.0506563924344985	0.379352924039186	0.13353368123575	0.893771329004195	0.999972712909591
"NM_135497.3"	14.4913820561261	0.00713538308079448	0.744966220618729	0.00957812969676425	0.992357875042578	0.999972712909591
"NM_001103666.3"	10.3023411220888	-0.0206386178580771	0.752263430456027	-0.027435359772262	0.978112495835704	0.999972712909591
"NM_001042886.3"	2.97409211949718	-0.0233281446409658	1.14385452965012	-0.0203943281564846	0.983728808386194	0.999972712909591
"NM_134718.6"	10.0945006220926	-0.249782848941447	0.846875781364328	-0.294946265364967	0.768034928516765	0.999972712909591
"NM_164890.2"	0.730089362113923	-1.2750539127507	2.26080833540865	-0.563981427695961	0.572766771774974	0.999972712909591
"NM_135506.2"	0.257633528588745	-1.16151082520006	4.04019932925678	-0.287488495131682	0.773738309867471	0.999972712909591
"NM_001347812.1"	712.433146710294	0.106003391791483	0.51505408490469	0.205810214690558	0.836939161844016	0.999972712909591
"NM_135507.3"	30.7603352914127	0.000567614425598715	0.468883192585985	0.00121056679909597	0.999034107677095	0.999972712909591
"NM_078807.3"	85.2245756047506	-0.429492992210482	0.520439140350619	-0.825251136801765	0.409229026788509	0.999972712909591
"NM_001103667.3"	109.420436295593	0.156460915603911	0.267206886079245	0.585542228719022	0.55818318073047	0.999972712909591
"NM_135509.3"	192.578168101388	-0.273217121316568	0.24353696114694	-1.12187127584186	0.261917175302989	0.999972712909591
"NM_135510.3"	17.7949255808437	-0.325776011050885	0.560029208824706	-0.581712535556079	0.560760326433049	0.999972712909591
"NM_135512.4"	136.967370330615	-0.141827610308397	0.267635887231096	-0.529927476377382	0.596162214954094	0.999972712909591
"NM_135513.5"	464.838357799717	0.13131108275551	0.255693630328133	0.513548509546357	0.60756768703061	0.999972712909591
"NM_078808.4"	68.3367603139349	-0.129781637320315	0.292678428816146	-0.443427408863947	0.657456614403666	0.999972712909591
"NM_164892.2"	53.7685217935269	-0.134024084877866	0.36756521548762	-0.364626681825881	0.715390094928487	0.999972712909591
"NM_164893.2"	128.082918519489	0.161266480836928	0.288711916396017	0.558572305743432	0.576453644986221	0.999972712909591
"NM_164894.2"	295.259707582885	0.179495403967529	0.374705558084459	0.479030535028975	0.631916906006982	0.999972712909591
"NM_164895.3"	176.628042370546	0.357192864938455	0.275751100349368	1.29534520256094	0.195201172289077	0.999972712909591
"NM_164897.3"	6.67737964539408	0.302200890703957	1.38501280801165	0.218193571175563	0.827278293877081	0.999972712909591
"NM_078809.4"	218.873797114742	0.28921404071625	0.222237873491668	1.30137152669927	0.193131314937291	0.999972712909591
"NM_164899.3"	249.854308538518	-0.0537600842646169	0.225050528012629	-0.238880062799053	0.811198585648522	0.999972712909591
"NM_164900.3"	179.288704627188	0.253098318283009	0.207014409275853	1.22261208371127	0.221476246916995	0.999972712909591
"NM_057614.3"	28.4435006612932	-0.274386260166748	0.650081612790325	-0.42207971240566	0.67296683550557	0.999972712909591
"NM_135518.3"	27.1362509635781	0.525953574183353	0.46283853958372	1.13636512347567	0.255803785853549	0.999972712909591
"NM_001169462.2"	242.988120749325	0.0767697425149853	0.23575035880819	0.325639981644509	0.744696758602645	0.999972712909591
"NM_164904.2"	25.4501393615915	0.509061997771781	0.49338842867436	1.0317672004176	0.30218118802763	0.999972712909591
"NM_135520.4"	55.2886442001293	0.168853024324645	0.322047839984345	0.524310376783937	0.600062680671448	0.999972712909591
"NM_135521.6"	104.575102946476	-0.176501377792614	0.420315029187197	-0.419926401713332	0.674539219941215	0.999972712909591
"NM_135522.4"	10.3628491794571	-0.332298354116954	0.612437814158984	-0.542583012404737	0.587416937811703	0.999972712909591
"NM_164906.3"	43.8075110253766	0.0463273693182412	0.35027740774811	0.132259084638299	0.894779368741651	0.999972712909591
"NM_135524.4"	330.251737897072	0.197512385508987	0.223783700172329	0.882603984816092	0.377450274829922	0.999972712909591
"NM_001038804.3"	2.01143807109902	-1.10390158060421	1.49013839130137	-0.740804738035204	0.458811841953349	0.999972712909591
"NM_135525.2"	1353.40303330527	0.0711247593017323	0.231941988744428	0.306648915475599	0.759110617002134	0.999972712909591
"NM_134646.4"	104.480863441897	-0.189063948178202	0.274228022630062	-0.689440657322072	0.490546005307488	0.999972712909591
"NM_135526.3"	0.286375393350831	-1.29294113371981	4.02780533618208	-0.321003878242382	0.748207451903629	0.999972712909591
"NM_135527.3"	203.681426063582	0.243980122941997	0.226324248399884	1.07801141356678	0.281028662644086	0.999972712909591
"NM_135528.2"	2.74326652146679	0.900942533591389	1.25845265508551	0.715912934785909	0.474045111040097	0.999972712909591
"NM_135529.3"	171.126902140996	-0.22167711782647	0.317392434201398	-0.698432268507721	0.484906902107662	0.999972712909591
"NM_001298873.1"	93.3639340439121	0.202005693934604	0.333443324357183	0.605817178448643	0.544636161191841	0.999972712909591
"NM_135531.3"	57.1085773649702	0.0496349504001357	0.317344050657731	0.156407376464949	0.875711923155388	0.999972712909591
"NM_001273391.1"	18.0498675551117	0.418727691715002	0.580146734649808	0.721761697008875	0.470441002455496	0.999972712909591
"NM_135532.2"	127.882795734522	0.491702039981645	0.268949756499174	1.82823009911577	0.0675150255141692	0.999972712909591
"NM_135533.2"	187.169983496477	0.259701066930818	0.251416800335564	1.03295033022534	0.301627143572983	0.999972712909591
"NM_135534.3"	107.981936069329	0.120769355113617	0.288432171698179	0.418709724378432	0.675428287924124	0.999972712909591
"NM_135535.3"	114.610237446033	-0.0206161953646454	0.574971897726569	-0.0358560052172317	0.971397176041317	0.999972712909591
"NM_164914.2"	3.85872392911699	-0.236411175117468	1.25689734858945	-0.18809107631803	0.850805256318745	0.999972712909591
"NM_057679.5"	485.611580644194	0.120682278610598	0.239478525515183	0.503937788789113	0.614305094617274	0.999972712909591
"NM_001347808.1"	41.1643729178067	0.388775976634277	0.504395160567075	0.770776579611091	0.440839371554406	0.999972712909591
"NM_135538.3"	96.8792040258363	0.115128196995961	0.360675243488179	0.319201827889621	0.749573470956726	0.999972712909591
"NM_135539.3"	453.156960861092	-0.0497850277845182	0.180277964196949	-0.276157033424946	0.782427456781484	0.999972712909591
"NM_164352.3"	1643.93834664175	0.209444625175634	0.396460973182499	0.528285605249782	0.597301121035091	0.999972712909591
"NM_057875.5"	86.2308064107933	0.142087291805584	0.399246474166502	0.355888657757634	0.721923950243392	0.999972712909591
"NM_058130.6"	45.5804928679566	-0.0544055171217061	0.423169823020902	-0.128566627774445	0.897700574276996	0.999972712909591
"NM_135540.2"	12.5206378918509	-0.460963353491306	0.608860357593047	-0.757092078245316	0.448994699701905	0.999972712909591
"NM_001273402.1"	1.67590640994654	-1.6308851389438	1.59952867725343	-1.0196035633098	0.307916514371575	0.999972712909591
"NM_135543.2"	3.1370956667217	0.237906375256946	1.30319928276545	0.18255563704125	0.855146695786435	0.999972712909591
"NM_135544.3"	20.5591502169101	0.0916863693334961	0.579520609065236	0.158210713992356	0.874290761538484	0.999972712909591
"NM_135545.3"	447.232697299023	0.0993526555654065	0.290375341578713	0.342152522405125	0.732236112853967	0.999972712909591
"NM_057330.3"	12.8442626298027	-0.095775795940219	0.546519892450423	-0.175246678598999	0.860885807589651	0.999972712909591
"NM_135546.3"	3.4259134963386	-0.174789571738578	1.09198823200794	-0.160065435336401	0.87282952866953	0.999972712909591
"NM_135547.3"	60.8528520017191	0.138492329231639	0.293354142705115	0.472099449336408	0.636855805511524	0.999972712909591
"NM_205957.3"	32.4187297502846	-0.219735206638327	0.64284131791766	-0.3418187358431	0.732487308803714	0.999972712909591
"NM_205958.3"	128.979967096662	-0.213048832480832	0.319243839252244	-0.667354561891784	0.504545682372912	0.999972712909591
"NM_001273407.2"	1.59317180248622	-0.947329471500278	2.02123184671807	-0.468689167469078	0.639291831002886	0.999972712909591
"NM_001169379.2"	0.65812469413103	1.95662374121595	3.11183919373631	0.628767625638997	0.529501197699404	0.999972712909591
"NM_001273409.1"	60.4710263635865	0.524660473434837	0.322517466506181	1.62676607601586	0.103786789129352	0.999972712909591
"NM_164918.2"	15.8925907062946	0.43589628820467	0.797998810283085	0.546236764500988	0.584903197510455	0.999972712909591
