#name name2
NM_166811.2 CaMKII
NM_001169361.2 CaMKII
NM_166810.5 CaMKII
NM_166812.3 CaMKII
NM_001014696.2 CaMKII
NM_166813.3 CaMKII
NM_001272154.1 CaMKII
NM_001272155.1 CaMKII
NM_079896.4 CaMKII
NM_001272153.1 CaMKII
NM_001169360.2 CaMKII
NM_001169362.2 CaMKII
NM_001038713.4 RhoGAP102A
NM_143657.5 RhoGAP102A
NM_001272121.2 RhoGAP102A
NM_001258487.3 RhoGAP102A
NM_205874.3 dati
NM_166758.4 dati
NM_001258492.3 dati
NM_001272130.1 zfh2
NM_079884.5 zfh2
NM_001258496.3 zfh2
NM_166783.2 gw
NM_166780.2 gw
NM_166785.2 gw
NM_166784.2 gw
NM_166781.2 gw
NM_001014691.2 gw
NM_143679.4 MED26
NM_166791.2 MED26
NM_001144385.2 eIF4G
NM_001103382.2 eIF4G
NM_079901.4 eIF4G
NM_079891.3 pho
NM_166827.2 pho
NM_001110622.3 JYalpha
NM_001258471.2 PlexB
NM_079877.4 PlexB
NR_123741.1 CR45124
NR_123742.1 CR44440
NM_079878.5 ci
NM_001258472.2 ci
NM_001258473.1 ci
NR_073612.1 CR43957
NR_073611.1 CR43957
NM_001258475.2 RpS3A
NR_073613.1 snoRNA:CD-24
NM_079879.4 RpS3A
NM_166714.4 RpS3A
NM_001038709.3 pan
NM_079880.6 pan
NM_166723.3 pan
NM_001014685.3 pan
NM_001258476.2 pan
NM_166718.3 pan
NM_001258477.2 pan
NM_166720.3 pan
NM_166724.4 pan
NM_001169348.2 Ank
NM_175926.3 Ank
NM_175928.3 Ank
NM_175927.3 Ank
NM_166729.2 CG32000
NM_166733.2 CG32000
NM_166728.2 CG32000
NM_205865.2 CG32000
NM_001103379.2 CG32000
NR_073614.1 CR43956
NM_001272114.1 CG32000
NM_166731.2 CG32000
NM_166732.3 CG32000
NM_166730.3 CG32000
NM_166734.2 CG32006
NM_001297780.1 CG31997
NM_166735.3 CG31997
NM_001272116.1 CG33978
NM_001272117.1 CG33978
NM_001272115.1 CG33978
NM_001038712.3 CG33978
NM_001258478.1 CG33978
NR_123743.1 CR45198
NM_001258479.3 Arl4
NM_143648.3 Arl4
NM_001272118.1 Arl4
NM_166736.4 CG2316
NM_001258480.1 CG2316
NM_166740.2 CG2316
NM_143649.3 CG2316
NM_166737.3 CG2316
NM_166738.3 CG2316
NR_123744.2 CR44441
NM_001258481.2 CG31998
NM_166742.3 CG31998
NM_001297782.1 Crk
NM_166743.3 Crk
NM_001258482.2 Crk
NM_166744.3 Crk
NM_001297781.1 Crk
NM_143651.6 Crk
NM_001258483.2 Crk
NM_166745.3 CG31999
NM_001297783.1 CG31999
NM_143655.4 yellow-h
NR_133502.1 CR46065
NM_143656.2 CG1674
NM_205866.3 CG1674
NM_001169352.2 CG1674
NM_001258484.2 CG1674
NM_001258485.2 CG1674
NM_166747.3 CG1674
NM_166746.3 CG1674
NM_001272120.1 CG1674
NM_001169351.2 CG1674
NM_001169350.2 CG1674
NM_001103381.3 dpr7
NM_001103380.3 dpr7
NM_001272122.2 NfI
NM_205870.3 NfI
NR_073615.1 CR44023
NM_205871.3 Syt7
NM_166751.6 Syt7
NM_166748.5 Syt7
NM_001258488.2 Syt7
NM_166749.2 Syt7
NM_143661.3 Rad23
NM_166752.2 Rad23
NM_001272123.1 Rad23
NM_205872.2 Zip102B
NM_143662.2 Zip102B
NM_001297784.1 Zip102B
NM_001144383.2 Zip102B
NM_166753.3 CG32850
NM_001272124.1 CG32850
NM_001201587.2 PMCA
NM_001038714.4 PMCA
NM_166754.6 PMCA
NM_001014688.4 PMCA
NM_001201588.2 PMCA
NM_166755.6 PMCA
NM_001201586.2 PMCA
NM_001201585.2 PMCA
NM_001201589.2 PMCA
NM_001014689.5 PMCA
NM_001014687.4 PMCA
NM_166757.3 Hcf
NM_079882.4 Hcf
NM_001258491.3 Hcf
NM_166756.3 Hcf
NM_205873.3 Hcf
NM_001258493.2 dati
NR_123745.1 CR45125
NR_073616.2 CR44027
NR_144673.1 mir-9385
NR_047708.1 CR43437
NR_073617.1 CR44024
NM_143665.4 lgs
NM_166764.2 CaMKI
NM_079883.3 CaMKI
NM_166760.2 CaMKI
NM_166761.2 CaMKI
NM_166759.2 CaMKI
NR_123746.1 CR45126
NM_143666.3 bip2
NM_001347760.1 CG33941
NM_001272127.1 Asator
NM_143667.3 Asator
NM_001272126.2 Asator
NM_166766.3 Asator
NM_166765.3 Asator
NM_001272125.1 Asator
NM_001272129.1 Asator
