gID	name	genename	chr	strand	start	stop
14	Pax	CG31794	chr2L	-	19414473	19423549
34	CG34398	CG34398	chr2L	+	8898787	8933382
50	CG1317	CG1317	chr3L	-	2368014	2371934
68	CG6770	CG6770	chr2L	-	12045346	12046114
124	betaTub60D	CG3401	chr2R	+	20193406	20200626
130	C3G	CG42328	chrX	-	6689631	6697625
175	sut1	CG8714	chr2R	+	3970483	3974654
194	CG3680	CG3680	chr3L	+	20802771	20805978
197	CG12179	CG12179	chrX	-	4525085	4530033
253	Cyp49a1	CG18377	chr2R	-	6336847	6346389
259	sdt	CG32717	chrX	+	8087241	8133487
307	CG3091	CG3091	chrX	-	2146365	2148167
318	CG1637	CG1637	chrX	-	10768507	10771823
365	baz	CG5055	chrX	+	17054057	17089350
376	CG7420	CG7420	chr2L	-	1500835	1502888
407	CG33523	CG33523	chr3L	+	5919950	5920866
416	CG15098	CG15098	chr2R	-	14720877	14722247
442	CG40485	CG40485	chrX	-	22362444	22364197
453	e(y)1	CG6474	chrX	+	17736216	17737384
553	CG15914	CG15914	chrX	+	15747450	15749003
563	Smn	CG16725	chr3L	-	16573513	16574320
566	CG5500	CG5500	chr3R	+	22702334	22706181
568	CG17181	CG17181	chr3L	-	582824	589268
650	CG1513	CG1513	chr2R	-	5770077	5779147
687	CG9451	CG9451	chr3L	-	19491484	19493891
715	CG2982	CG2982	chrX	+	4213487	4215778
724	CG10866	CG10866	chr3L	-	3936597	3937942
840	CG7275	CG7275	chr3L	+	15492059	15493661
894	CG7039	CG7039	chrX	+	9001111	9002391
897	CG2652	CG2652	chrX	-	2576020	2576884
898	DIP1	CG17686	chrX	-	21495823	21501167
958	CG1360	CG1360	chr2R	-	3475278	3477606
1006	slik	CG4527	chr2R	-	20279652	20290217
1014	Amph	CG8604	chr2R	+	8481088	8499578
1016	CG17841	CG17841	chrX	+	10262088	10277264
1128	PTP-ER	CG9856	chr2R	-	17506889	17511947
1243	Zn72D	CG5215	chr3L	-	16099696	16105485
1254	CG32647	CG32647	chrX	-	12670605	12678991
1335	CG13982	CG13982	chr2L	+	6412311	6415344
1354	spz	CG6134	chr3R	-	22890792	22895790
1359	CG31793	CG31793	chr2L	+	19003399	19008231
1372	rdgBbeta	CG17818	chr2R	-	13583281	13585864
1389	Calx	CG5685	chr3R	+	16803884	16840182
1475	CG2712	CG2712	chrX	+	2626530	2628442
