gID	name	genename	chr	strand	start	stop
1	fusl	CG14021	chr2L	-	5330468	5336136
8	tomosyn	CG17762	chrX	+	12525642	12547377
14	Pax	CG31794	chr2L	-	19414473	19423549
22	LamC	CG10119	chr2R	-	10458309	10463272
34	CG34398	CG34398	chr2L	+	8898787	8933382
36	CG9865	CG9865	chr2R	-	17555046	17557352
41	CG5346	CG5346	chr3R	-	18345804	18354326
50	CG1317	CG1317	chr3L	-	2368014	2371934
60	CG42445	CG42445	chr3L	-	8147853	8151993
66	eIF2B-beta	CG2677	chrX	+	2598707	2600099
68	CG6770	CG6770	chr2L	-	12045346	12046114
80	mus309	CG6920	chr3R	-	7562053	7567511
87	Sans	CG13320	chr2R	+	8824400	8827917
90	CG4752	CG4752	chr2R	+	18365892	18370559
97	CG32685	CG32685	chrX	-	9966179	9976473
98	Pros45	CG1489	chrX	+	21187082	21188690
124	betaTub60D	CG3401	chr2R	+	20193406	20200626
125	CG8043	CG8043	chr3R	+	4502628	4503955
130	C3G	CG42328	chrX	-	6689631	6697625
131	bi	CG3578	chrX	+	4321169	4378485
133	bi	CG3578	chrX	+	4306893	4321169
142	fz3	CG16785	chrX	+	664061	677344
154	CG15210	CG15210	chrX	+	10733224	10733803
173	ATPsyn-d	CG6030	chr3R	+	14920733	14921792
174	l(2)gd1	CG4713	chr2L	+	11106946	11110852
175	sut1	CG8714	chr2R	+	3970483	3974654
192	Cks85A	CG9790	chr3R	-	4540922	4541618
194	CG3680	CG3680	chr3L	+	20802771	20805978
197	CG12179	CG12179	chrX	-	4525085	4530033
198	KLHL18	CG3571	chr3R	-	7833832	7836176
199	Neos	CG8614	chr3L	+	7234922	7236239
213	dnt	CG17559	chr2L	-	19338676	19363224
234	CG18745	CG18745	chr3R	-	3609563	3611870
240	Fhos	CG42610	chr3L	+	8759544	8791819
248	l(2)37Cb	CG10689	chr2L	-	19123998	19126939
251	WRNexo	CG7670	chr3R	-	14189966	14191859
253	Cyp49a1	CG18377	chr2R	-	6336847	6346389
259	sdt	CG32717	chrX	+	8087241	8133487
264	hfw	CG3095	chrX	+	1563585	1567144
270	CG1824	CG1824	chrX	-	12486588	12489636
276	CG42238	CG42238	chr2L	-	20965520	21051979
282	CG6543	CG6543	chr2R	-	9740452	9741826
288	CtBP	CG7583	chr3R	+	8837432	8851905
296	CG1240	CG1240	chr3L	+	2767035	2768399
297	CG42360	CG42360	chr2R	+	20494794	20498052
299	CG32177	CG32177	chr3L	-	17640539	17647376
307	CG3091	CG3091	chrX	-	2146365	2148167
317	hig	CG2040	chr2R	-	5115286	5134750
318	CG1637	CG1637	chrX	-	10768507	10771823
331	CG1140	CG1140	chr3L	+	1964470	1966808
333	CG31690	CG31690	chr2L	+	2677734	2719431
334	mib1	CG5841	chr3L	-	15999652	16004883
339	CG7979	CG7979	chr3L	+	8174092	8176469
343	Ptp99A	CG11516	chr3R	+	25283304	25312853
360	CG34347	CG34347	chr3R	+	27136880	27196498
365	baz	CG5055	chrX	+	17054057	17089350
375	Mical	CG33208	chr3R	-	5828033	5868617
376	CG7420	CG7420	chr2L	-	1500835	1502888
380	Myo28B1	CG6976	chr2L	+	7678719	7689454
386	18w	CG8896	chr2R	+	15999016	16004437
393	und	CG4008	chr2L	+	9763495	9765358
407	CG33523	CG33523	chr3L	+	5919950	5920866
416	CG15098	CG15098	chr2R	-	14720877	14722247
422	CG8539	CG8539	chr3L	-	7490369	7491762
425	CG18446	CG18446	chr2R	+	5759058	5761151
430	CG7770	CG7770	chr3L	+	19916801	19917595
436	nrv2	CG9261	chr2L	-	6789761	6794595
437	CG40042	CG40042	chr2LHet	-	167980	169064
442	CG40485	CG40485	chrX	-	22362444	22364197
443	GlyP	CG7254	chr2L	+	2130817	2137054
451	olf413	CG12673	chr3L	+	22129192	22235892
453	e(y)1	CG6474	chrX	+	17736216	17737384
455	Adam	CG12131	chr2R	+	5856601	5858410
458	CG16708	CG16708	chr3R	-	1184585	1194025
461	Obp99a	CG18111	chr3R	+	25497385	25498057
466	Adf1	CG15845	chr2R	+	2549782	2555592
468	SK	CG10706	chrX	+	5234271	5295156
476	wun2	CG8805	chr2R	+	5301849	5305353
484	CG14478	CG14478	chr2R	+	13345182	13353085
496	CG4769	CG4769	chr3L	+	5353347	5355898
505	th	CG12284	chr3L	-	16031505	16039935
510	CG13850	CG13850	chr3R	-	18234285	18236610
530	CG32638	CG32638	chrX	-	13016909	13022848
538	CG31075	CG31075	chr3R	-	22811344	22814232
548	CG6860	CG6860	chr2L	-	17367509	17384112
553	CG15914	CG15914	chrX	+	15747450	15749003
554	CG9413	CG9413	chrX	-	14478766	14496603
555	CG9413	CG9413	chrX	-	14478766	14485621
559	cact	CG5848	chr2L	-	16313029	16325618
561	CG1529	CG1529	chrX	-	20899674	20902995
562	Sgf11	CG13379	chr3L	-	18674140	18674895
563	Smn	CG16725	chr3L	-	16573513	16574320
566	CG5500	CG5500	chr3R	+	22702334	22706181
568	CG17181	CG17181	chr3L	-	582824	589268
573	CG18528	CG18528	chr3R	-	20183815	20185832
584	loj	CG10733	chr3L	+	6088094	6089617
585	th	CG12284	chr3L	-	16039935	16043767
643	gem	CG30011	chr2R	+	6011798	6024977
646	CG4593	CG4593	chrX	+	6907923	6909042
650	CG1513	CG1513	chr2R	-	5770077	5779147
652	CG7970	CG7970	chr3L	+	1653005	1654110
653	beta4GalNAcTB	CG14517	chr3R	-	24858434	24859730
671	CG7239	CG7239	chr2L	+	5802229	5804030
678	CG13321	CG13321	chr2R	+	8841061	8842675
685	DNaseII	CG7780	chr3R	+	13845099	13846883
687	CG9451	CG9451	chr3L	-	19491484	19493891
693	Hsp27	CG4466	chr3L	+	9377165	9378384
700	GstE2	CG17523	chr2R	+	14286997	14287884
706	CG5808	CG5808	chr3R	-	20640625	20642714
715	CG2982	CG2982	chrX	+	4213487	4215778
717	numb	CG3779	chr2L	+	9437516	9449824
718	numb	CG3779	chr2L	+	9449824	9463293
724	CG10866	CG10866	chr3L	-	3936597	3937942
727	KCNQ	CG33135	chr2R	-	6046084	6079899
730	KCNQ	CG33135	chr2R	-	6034205	6042378
731	mfas	CG3359	chr3R	-	7810584	7819035
735	M6	CG7540	chr3L	+	21500976	21505849
746	CG8460	CG8460	chr2L	+	8197197	8198813
748	CG12918	CG12918	chr2R	-	5938367	5939639
755	l(2)tid	CG5504	chr2R	+	19594512	19596561
773	CG6643	CG6643	chr3R	+	20374739	20382271
783	Arc1	CG12505	chr2R	-	10245428	10247797
789	alpha-Spec	CG1977	chr3L	-	1779111	1795318
802	CG10764	CG10764	chr2R	+	13340904	13343234
828	CG7995	CG7995	chr3L	+	1738563	1745430
840	CG7275	CG7275	chr3L	+	15492059	15493661
853	scpr-A	CG5207	chr3R	+	7066898	7067845
