gID	name	genename	chr	strand	start	stop
8	tomosyn	CG17762	chrX	+	12525642	12547377
22	LamC	CG10119	chr2R	-	10458309	10463272
36	CG9865	CG9865	chr2R	-	17555046	17557352
66	eIF2B-beta	CG2677	chrX	+	2598707	2600099
80	mus309	CG6920	chr3R	-	7562053	7567511
142	fz3	CG16785	chrX	+	664061	677344
173	ATPsyn-d	CG6030	chr3R	+	14920733	14921792
174	l(2)gd1	CG4713	chr2L	+	11106946	11110852
248	l(2)37Cb	CG10689	chr2L	-	19123998	19126939
251	WRNexo	CG7670	chr3R	-	14189966	14191859
276	CG42238	CG42238	chr2L	-	20965520	21051979
282	CG6543	CG6543	chr2R	-	9740452	9741826
299	CG32177	CG32177	chr3L	-	17640539	17647376
331	CG1140	CG1140	chr3L	+	1964470	1966808
333	CG31690	CG31690	chr2L	+	2677734	2719431
334	mib1	CG5841	chr3L	-	15999652	16004883
343	Ptp99A	CG11516	chr3R	+	25283304	25312853
375	Mical	CG33208	chr3R	-	5828033	5868617
386	18w	CG8896	chr2R	+	15999016	16004437
430	CG7770	CG7770	chr3L	+	19916801	19917595
436	nrv2	CG9261	chr2L	-	6789761	6794595
437	CG40042	CG40042	chr2LHet	-	167980	169064
461	Obp99a	CG18111	chr3R	+	25497385	25498057
468	SK	CG10706	chrX	+	5234271	5295156
484	CG14478	CG14478	chr2R	+	13345182	13353085
505	th	CG12284	chr3L	-	16031505	16039935
510	CG13850	CG13850	chr3R	-	18234285	18236610
530	CG32638	CG32638	chrX	-	13016909	13022848
538	CG31075	CG31075	chr3R	-	22811344	22814232
554	CG9413	CG9413	chrX	-	14478766	14496603
559	cact	CG5848	chr2L	-	16313029	16325618
585	th	CG12284	chr3L	-	16039935	16043767
643	gem	CG30011	chr2R	+	6011798	6024977
727	KCNQ	CG33135	chr2R	-	6046084	6079899
730	KCNQ	CG33135	chr2R	-	6034205	6042378
731	mfas	CG3359	chr3R	-	7810584	7819035
735	M6	CG7540	chr3L	+	21500976	21505849
783	Arc1	CG12505	chr2R	-	10245428	10247797
828	CG7995	CG7995	chr3L	+	1738563	1745430
859	CG9896	CG9896	chr2R	-	18881186	18886406
962	Tctp	CG4800	chr3R	+	7035979	7037006
967	Df31	CG2207	chr2L	-	21626857	21629928
968	CG9821	CG9821	chr3R	-	4643363	4646400
1009	Fs(2)Ket	CG2637	chr2L	+	20734933	20739779
1010	arr	CG5912	chr2R	-	9341138	9370731
1066	katanin-60	CG10229	chr3R	-	1053010	1057918
1088	Aprt	CG18315	chr3L	-	1883892	1884882
1108	CG32147	CG32147	chr3L	-	15136161	15137130
1149	CG31998	CG31998	chr4	-	218504	226564
1196	DAAM	CG14622	chrX	-	1183740	1216389
1207	VhaPPA1-1	CG7007	chr3R	-	10728048	10729743
1230	CG11400	CG11400	chr2R	+	13021636	13022350
1259	ogre	CG3039	chrX	-	6868049	6875711
1308	CG15093	CG15093	chr2R	-	14663173	14664478
1309	Dl	CG3619	chr3R	-	15128453	15151935
1312	CG7447	CG7447	chr3L	+	4384444	4403186
1337	CG13868	CG13868	chr2R	-	16196217	16201124
1343	CG1646	CG1646	chr3R	+	24637834	24639949
1376	phtf	CG3268	chr2R	+	2629410	2633649
1393	CG8713	CG8713	chr2R	+	3979203	3984450
1414	Hsp23	CG4463	chr3L	+	9374986	9375867
1421	CG9628	CG9628	chr3L	+	14615898	14621274
1424	CG4267	CG4267	chr2L	+	2242379	2244415
1437	Gli	CG3903	chr2L	-	15756001	15762755
