gID	name	genename	chr	strand	start	stop
14	Pax-RF	CG31794-RF	chr2L	-	19414473	19423549
34	CG34398-RD	CG34398-RD	chr2L	+	8898787	8933382
50	CG1317-RB	CG1317-RB	chr3L	-	2368014	2371934
68	CG6770-RA	CG6770-RA	chr2L	-	12045346	12046114
124	betaTub60D-RA	CG3401-RA	chr2R	+	20193406	20200626
130	C3G-RH	CG42328-RH	chrX	-	6689631	6697625
175	sut1-RA	CG8714-RA	chr2R	+	3970483	3974654
194	CG3680-RA	CG3680-RA	chr3L	+	20802771	20805978
197	CG12179-RD	CG12179-RD	chrX	-	4525085	4530033
253	Cyp49a1-RA	CG18377-RA	chr2R	-	6336847	6346389
259	sdt-RB	CG32717-RB	chrX	+	8087241	8133487
307	CG3091-RB	CG3091-RB	chrX	-	2146365	2148167
318	CG1637-RB	CG1637-RB	chrX	-	10768507	10771823
365	baz-RA	CG5055-RA	chrX	+	17054057	17089350
376	CG7420-RA	CG7420-RA	chr2L	-	1500835	1502888
407	CG33523-RA	CG33523-RA	chr3L	+	5919950	5920866
416	CG15098-RA	CG15098-RA	chr2R	-	14720877	14722247
442	CG40485-RB	CG40485-RB	chrX	-	22362444	22364197
453	e(y)1-RA	CG6474-RA	chrX	+	17736216	17737384
553	CG15914-RA	CG15914-RA	chrX	+	15747450	15749003
563	Smn-RA	CG16725-RA	chr3L	-	16573513	16574320
566	CG5500-RA	CG5500-RA	chr3R	+	22702334	22706181
568	CG17181-RA	CG17181-RA	chr3L	-	582824	589268
650	CG1513-RA	CG1513-RA	chr2R	-	5770077	5779147
687	CG9451-RA	CG9451-RA	chr3L	-	19491484	19493891
715	CG2982-RB	CG2982-RB	chrX	+	4213487	4215778
724	CG10866-RA	CG10866-RA	chr3L	-	3936597	3937942
840	CG7275-RA	CG7275-RA	chr3L	+	15492059	15493661
894	CG7039-RA	CG7039-RA	chrX	+	9001111	9002391
897	CG2652-RA	CG2652-RA	chrX	-	2576020	2576884
898	DIP1-RD	CG17686-RD	chrX	-	21495823	21501167
958	CG1360-RA	CG1360-RA	chr2R	-	3475278	3477606
1006	slik-RC	CG4527-RC	chr2R	-	20279652	20290217
1014	Amph-RA	CG8604-RA	chr2R	+	8481088	8499578
1016	CG17841-RA	CG17841-RA	chrX	+	10262088	10277264
1128	PTP-ER-RA	CG9856-RA	chr2R	-	17506889	17511947
1243	Zn72D-RB	CG5215-RB	chr3L	-	16099696	16105485
1254	CG32647-RA	CG32647-RA	chrX	-	12670605	12678991
1335	CG13982-RA	CG13982-RA	chr2L	+	6412311	6415344
1354	spz-RD	CG6134-RD	chr3R	-	22890792	22895790
1359	CG31793-RA	CG31793-RA	chr2L	+	19003399	19008231
1372	rdgBbeta-RA	CG17818-RA	chr2R	-	13583281	13585864
1389	Calx-RA	CG5685-RA	chr3R	+	16803884	16840182
1475	CG2712-RA	CG2712-RA	chrX	+	2626530	2628442
1549	Tl-RB	CG5490-RB	chr3R	+	22624768	22668125
1570	Gdi-RA	CG4422-RA	chr2L	-	9491918	9494778
1574	CG32486-RD	CG32486-RD	chr3L	-	3055904	3070825
1621	Sec61beta-RA	CG10130-RA	chr2R	+	10506268	10507189
1735	Sec16-RD	CG32654-RD	chrX	+	12490080	12501281
1755	pk-RC	CG11084-RC	chr2R	+	3074738	3110885
1768	Dg-RA	CG18250-RA	chr2R	-	11968674	11986041
1861	CG6051-RB	CG6051-RB	chr3R	-	22951159	22976754
1943	CG7598-RA	CG7598-RA	chr3R	+	25562692	25563792
2176	Sos-RA	CG7793-RA	chr2L	+	13813830	13819826
2295	Liprin-alpha-RB	CG11199-RB	chr2L	+	6723950	6731346
2330	CG6783-RA	CG6783-RA	chr3R	-	7389784	7392771
2341	CG11034-RA	CG11034-RA	chr2L	+	5805381	5808858
2366	CG6834-RA	CG6834-RA	chr3R	-	7510391	7513852
2408	CG4589-RC	CG4589-RC	chr2R	-	20397285	20402814
2416	CG34104-RB	CG34104-RB	chrX	+	9980566	10042911
2420	RpL37a-RA	CG9091-RA	chrX	-	15032358	15033395
2488	Cpsf160-RA	CG10110-RA	chr2R	-	10386198	10390976
2549	didum-RA	CG2146-RA	chr2R	+	3387656	3396130
2584	CG13928-RA	CG13928-RA	chr3L	-	1625791	1628374
2598	CG6206-RB	CG6206-RB	chr2L	+	10457660	10462475
2602	Drep-1-RA	CG8357-RA	chr2R	+	7932121	7937678
2621	CG8249-RA	CG8249-RA	chr2R	-	11731595	11734861
2648	Baldspot-RB	CG3971-RB	chr3L	-	16641920	16654706
2682	CG8677-RA	CG8677-RA	chr2L	+	21221314	21234035
2733	Mov34-RA	CG3416-RA	chr2R	+	20290510	20292050
2738	CG5288-RA	CG5288-RA	chr3L	-	8976242	8979185
2770	MED14-RA	CG12031-RA	chr3L	+	593230	599242
2772	CG1965-RA	CG1965-RA	chr3R	+	2893129	2897346
2855	CG32627-RB	CG32627-RB	chrX	+	13590679	13608474
2918	CG6812-RA	CG6812-RA	chr3L	+	19056288	19059249
3055	CG32813-RE	CG32813-RE	chrX	+	1274950	1282648
3059	CG17321-RA	CG17321-RA	chr2L	+	18845185	18855118
3062	trol-RF	CG33950-RF	chrX	-	2365016	2439458
3063	Mpcp-RB	CG4994-RB	chr3L	+	14530757	14533546
3118	Arp66B-RA	CG7558-RA	chr3L	-	8106588	8108998
3141	Rcd2-RA	CG4786-RA	chr3L	-	20521068	20533514
3149	AP-47-RA	CG9388-RA	chr3R	-	5383437	5385242
3164	fu12-RC	CG17608-RC	chr2L	-	8449691	8463990
3285	cenG1A-RB	CG31811-RB	chr2L	+	13835567	13878961
3299	CG17834-RC	CG17834-RC	chr2L	+	8529143	8541462
3334	run-RA	CG1849-RA	chrX	+	20565471	20568353
3474	yps-RA	CG5654-RA	chr3L	-	12114626	12118247
3496	SdhC-RA	CG6666-RA	chr3R	-	7034856	7035549
3547	U4-U6-60K-RA	CG6322-RA	chr3L	-	17504955	17507015
3558	ari-2-RA	CG5709-RA	chr2R	+	18100334	18104769
3559	itp-RE	CG13586-RE	chr2R	+	20427465	20431217
3619	Sema-2a-RB	CG4700-RB	chr2R	+	12403678	12420934
3667	B4-RA	CG9239-RA	chr2L	-	13502656	13549323
3685	Atox1-RA	CG32446-RA	chr3L	+	21634152	21635699
3691	LSm-4-RB	CG33677-RB	chr2L	-	10403195	10405168
3747	Apc-RA	CG1451-RA	chr3R	-	24658022	24670487
3764	MYPT-75D-RA	CG6896-RA	chr3L	+	18619061	18660277
3769	eIF-2alpha-RA	CG9946-RA	chrX	-	16339517	16341004
3794	CG2862-RA	CG2862-RA	chr2L	+	2770139	2770904
3824	CG31710-RA	CG31710-RA	chr2L	-	9702964	9705979
3944	CG2990-RC	CG2990-RC	chrX	+	9904518	9908312
3948	CG3835-RB	CG3835-RB	chrX	+	2035524	2038972
3951	CG7611-RI	CG7611-RI	chr3L	+	21516307	21521263
3973	CG12140-RA	CG12140-RA	chr2R	+	5798403	5800993
3996	CG13004-RB	CG13004-RB	chrX	-	16721146	16729548
4005	rols-RD	CG32096-RD	chr3L	-	12001324	12049570
4014	Cyt-c-p-RA	CG17903-RA	chr2L	+	16719937	16722659
4056	nimC4-RA	CG16876-RA	chr2L	+	14047585	14048863
4069	bgm-RA	CG4501-RA	chr2L	+	14013748	14019328
4072	sog-RA	CG9224-RA	chrX	-	15498603	15520564
4090	l(1)G0148-RA	CG32742-RA	chrX	+	6548660	6553742
4123	Atu-RA	CG1433-RA	chr3R	+	1439072	1441664
4128	Mlc-c-RA	CG3201-RA	chrX	-	5513167	5516568
4139	Fim-RA	CG8649-RA	chrX	-	17179736	17195958
4171	PCID2-RA	CG7351-RA	chr3L	+	11619551	11620820
4188	CG33217-RA	CG33217-RA	chr3L	+	23119136	23125309
4308	CG11357-RC	CG11357-RC	chr3L	+	4542125	4553458
4338	CG13204-RA	CG13204-RA	chr2R	+	7254217	7257789
4383	how-RA	CG10293-RA	chr3R	+	17867918	17905043
4399	CG5645-RA	CG5645-RA	chr3L	-	12126869	12129803
4476	CG9215-RA	CG9215-RA	chrX	-	15474963	15476895
4480	Duox-RB	CG3131-RB	chr2L	-	2815970	2830247
4553	CG5554-RA	CG5554-RA	chr2R	+	19732557	19734547
4572	CG9335-RA	CG9335-RA	chr2L	+	20852581	20857113
4592	CG11170-RB	CG11170-RB	chr2R	-	18064946	18070363
4603	CG9300-RA	CG9300-RA	chr3L	+	19545523	19547872
4636	Fip1-RA	CG1078-RA	chr3R	+	310760	313185
4645	CG2493-RA	CG2493-RA	chr2L	-	20461585	20463405
4664	mdy-RA	CG31991-RA	chr2L	+	16816665	16826991
4673	CG31731-RA	CG31731-RA	chr2L	+	13784085	13790562
4674	dve-RB	CG5799-RB	chr2R	+	18158425	18173982
4676	dve-RA	CG5799-RA	chr2R	+	18131469	18158425
4688	CG3961-RC	CG3961-RC	chr3L	-	18871350	18883582
4729	robo-RA	CG13521-RA	chr2R	-	18580029	18588457
4735	CG11598-RB	CG11598-RB	chr3R	+	8460626	8462007
4793	l(1)G0320-RA	CG32701-RA	chrX	-	9445638	9447689
4861	eg-RA	CG7383-RA	chr3L	+	21801939	21811081
4934	CG6498-RA	CG6498-RA	chr3L	+	15559117	15568853
4974	RpS14a-RB	CG1524-RB	chrX	+	7827780	7828713
5001	hh-RB	CG4637-RB	chr3R	-	18953891	18967596
5006	Epac-RD	CG34392-RD	chr2R	-	2668992	2676524
5045	CG17734-RB	CG17734-RB	chr3R	-	7067930	7069696
5093	CG12065-RD	CG12065-RD	chrX	+	8468341	8482561
5129	CG6038-RA	CG6038-RA	chr3L	-	11703607	11704483
5142	CG1234-RA	CG1234-RA	chr3R	-	3069896	3072689
5181	CG5451-RA	CG5451-RA	chr3R	-	14804697	14806688
5218	betaTub56D-RB	CG9277-RB	chr2R	-	15334824	15339102
5231	CG1115-RA	CG1115-RA	chr3R	+	1051916	1053248
5257	Antp-RD	CG1028-RD	chr3R	-	2721975	2758559
5334	gcm-RA	CG12245-RA	chr2L	-	9579449	9581739
5343	CG8100-RA	CG8100-RA	chr3L	+	14076714	14078834
5421	CG14182-RA	CG14182-RA	chr3L	-	19972288	19972930
5463	Fdh-RA	CG6598-RA	chr3R	-	6696627	6698049
5584	ana3-RA	CG13162-RA	chr2R	+	8232525	8238583
5619	Srp54k-RA	CG4659-RA	chr3L	+	5145781	5147877
5636	CG16787-RA	CG16787-RA	chr2R	-	19843858	19844875
5652	mys-RA	CG1560-RA	chrX	+	7955705	7964270
5656	CG13926-RA	CG13926-RA	chr3L	-	1617424	1618123
5657	CG5991-RA	CG5991-RA	chr3R	+	19876514	19877410
5767	CG7840-RA	CG7840-RA	chr2L	+	8305587	8306743
5770	CG5611-RA	CG5611-RA	chr3R	-	23460350	23461791
5800	Bx42-RA	CG8264-RA	chrX	-	8998351	9000548
5812	r-l-RA	CG3593-RA	chr3R	-	16896275	16899036
5826	dnc-RE	CG32498-RE	chrX	+	3189295	3233360
