gID	name	genename	chr	strand	start	stop
8	tomosyn-RG	CG17762-RG	chrX	+	12525642	12547377
22	LamC-RA	CG10119-RA	chr2R	-	10458309	10463272
36	CG9865-RB	CG9865-RB	chr2R	-	17555046	17557352
66	eIF2B-beta-RA	CG2677-RA	chrX	+	2598707	2600099
80	mus309-RA	CG6920-RA	chr3R	-	7562053	7567511
142	fz3-RA	CG16785-RA	chrX	+	664061	677344
173	ATPsyn-d-RB	CG6030-RB	chr3R	+	14920733	14921792
174	l(2)gd1-RA	CG4713-RA	chr2L	+	11106946	11110852
248	l(2)37Cb-RA	CG10689-RA	chr2L	-	19123998	19126939
251	WRNexo-RA	CG7670-RA	chr3R	-	14189966	14191859
276	CG42238-RA	CG42238-RA	chr2L	-	20965520	21051979
282	CG6543-RA	CG6543-RA	chr2R	-	9740452	9741826
299	CG32177-RA	CG32177-RA	chr3L	-	17640539	17647376
331	CG1140-RA	CG1140-RA	chr3L	+	1964470	1966808
333	CG31690-RE	CG31690-RE	chr2L	+	2677734	2719431
334	mib1-RA	CG5841-RA	chr3L	-	15999652	16004883
343	Ptp99A-RD	CG11516-RD	chr3R	+	25283304	25312853
375	Mical-RE	CG33208-RE	chr3R	-	5828033	5868617
386	18w-RA	CG8896-RA	chr2R	+	15999016	16004437
430	CG7770-RA	CG7770-RA	chr3L	+	19916801	19917595
436	nrv2-RA	CG9261-RA	chr2L	-	6789761	6794595
437	CG40042-RA	CG40042-RA	chr2LHet	-	167980	169064
461	Obp99a-RA	CG18111-RA	chr3R	+	25497385	25498057
468	SK-RM	CG10706-RM	chrX	+	5234271	5295156
484	CG14478-RA	CG14478-RA	chr2R	+	13345182	13353085
505	th-RA	CG12284-RA	chr3L	-	16031505	16039935
510	CG13850-RA	CG13850-RA	chr3R	-	18234285	18236610
530	CG32638-RB	CG32638-RB	chrX	-	13016909	13022848
538	CG31075-RA	CG31075-RA	chr3R	-	22811344	22814232
554	CG9413-RA	CG9413-RA	chrX	-	14478766	14496603
559	cact-RB	CG5848-RB	chr2L	-	16313029	16325618
585	th-RB	CG12284-RB	chr3L	-	16039935	16043767
643	gem-RC	CG30011-RC	chr2R	+	6011798	6024977
727	KCNQ-RD	CG33135-RD	chr2R	-	6046084	6079899
730	KCNQ-RC	CG33135-RC	chr2R	-	6034205	6042378
731	mfas-RC	CG3359-RC	chr3R	-	7810584	7819035
735	M6-RA	CG7540-RA	chr3L	+	21500976	21505849
783	Arc1-RA	CG12505-RA	chr2R	-	10245428	10247797
828	CG7995-RE	CG7995-RE	chr3L	+	1738563	1745430
859	CG9896-RA	CG9896-RA	chr2R	-	18881186	18886406
962	Tctp-RA	CG4800-RA	chr3R	+	7035979	7037006
967	Df31-RB	CG2207-RB	chr2L	-	21626857	21629928
968	CG9821-RB	CG9821-RB	chr3R	-	4643363	4646400
1009	Fs(2)Ket-RA	CG2637-RA	chr2L	+	20734933	20739779
1010	arr-RA	CG5912-RA	chr2R	-	9341138	9370731
1066	katanin-60-RA	CG10229-RA	chr3R	-	1053010	1057918
1088	Aprt-RA	CG18315-RA	chr3L	-	1883892	1884882
1108	CG32147-RA	CG32147-RA	chr3L	-	15136161	15137130
1149	CG31998-RA	CG31998-RA	chr4	-	218504	226564
1196	DAAM-RB	CG14622-RB	chrX	-	1183740	1216389
1207	VhaPPA1-1-RA	CG7007-RA	chr3R	-	10728048	10729743
1230	CG11400-RA	CG11400-RA	chr2R	+	13021636	13022350
1259	ogre-RA	CG3039-RA	chrX	-	6868049	6875711
1308	CG15093-RB	CG15093-RB	chr2R	-	14663173	14664478
1309	Dl-RA	CG3619-RA	chr3R	-	15128453	15151935
1312	CG7447-RA	CG7447-RA	chr3L	+	4384444	4403186
1337	CG13868-RB	CG13868-RB	chr2R	-	16196217	16201124
1343	CG1646-RH	CG1646-RH	chr3R	+	24637834	24639949
1376	phtf-RA	CG3268-RA	chr2R	+	2629410	2633649
1393	CG8713-RA	CG8713-RA	chr2R	+	3979203	3984450
1414	Hsp23-RA	CG4463-RA	chr3L	+	9374986	9375867
1421	CG9628-RB	CG9628-RB	chr3L	+	14615898	14621274
1424	CG4267-RA	CG4267-RA	chr2L	+	2242379	2244415
1437	Gli-RB	CG3903-RB	chr2L	-	15756001	15762755
1450	yellow-c-RA	CG4182-RA	chr2L	+	15035476	15037842
1459	RpL11-RA	CG7726-RA	chr2R	+	15329864	15331014
1469	fax-RC	CG4609-RC	chr3L	-	16396387	16404885
1482	CG7889-RA	CG7889-RA	chrX	+	19137701	19139255
1484	bves-RB	CG32513-RB	chrX	+	20925578	20949964
1495	CG1927-RA	CG1927-RA	chr3L	-	1966723	1970075
1529	gukh-RD	CG31043-RD	chr3R	+	14809750	14848160
1533	Chd3-RA	CG9594-RA	chr3L	+	19440320	19443337
1536	flw-RB	CG2096-RB	chrX	+	10280000	10302119
1539	TotA-RA	CG31509-RA	chr3R	+	16696759	16697427
1550	CG14647-RB	CG14647-RB	chr3R	+	226298	227739
1552	elB-RC	CG4220-RC	chr2L	-	14390625	14409547
1601	CG7510-RA	CG7510-RA	chr3L	+	17614929	17623589
1609	fon-RC	CG15825-RC	chr2L	-	19383489	19386199
1613	mab-21-RA	CG4746-RA	chrX	-	5902216	5907210
1654	CG14946-RC	CG14946-RC	chr2L	-	12063523	12066773
1657	Rassf-RA	CG4656-RA	chr3R	-	18939736	18943649
1667	CG2641-RA	CG2641-RA	chr3R	+	3619805	3622321
1703	LpR2-RG	CG31092-RG	chr3R	-	21524488	21566189
1733	CG8298-RB	CG8298-RB	chr2R	+	7876638	7878946
1753	pk-RA	CG11084-RA	chr2R	+	3038208	3070527
1783	CG11537-RC	CG11537-RC	chr3L	-	3134180	3143432
1798	ChLD3-RA	CG17905-RA	chr2L	+	16738852	16742614
1808	CG8398-RC	CG8398-RC	chr3L	+	6606668	6611280
1850	e-RA	CG3331-RA	chr3R	-	17055552	17062896
1855	mthl1-RA	CG4521-RA	chrX	+	16535003	16543730
1866	CG5773-RA	CG5773-RA	chr2R	-	13930409	13931169
1872	CG32048-RA	CG32048-RA	chr3L	+	9540322	9587614
1885	CG30118-RC	CG30118-RC	chr2R	-	14318031	14327978
1901	Lis-1-RA	CG8440-RA	chr2R	+	12066342	12072612
1919	CG33298-RA	CG33298-RA	chr2L	+	9495474	9520696
1921	Clic-RA	CG10997-RA	chrX	-	13707475	13716334
1962	CG10516-RA	CG10516-RA	chr3L	+	15961289	15962910
2046	Rab30-RA	CG9100-RA	chr2L	-	7030480	7032603
2089	CG6163-RA	CG6163-RA	chr3L	-	11355086	11357999
2109	spen-RB	CG18497-RB	chr2L	+	159035	203251
2133	CG32694-RA	CG32694-RA	chrX	+	9883728	9900918
2159	peb-RA	CG12212-RA	chrX	+	4511602	4520256
2169	CG30360-RC	CG30360-RC	chr2R	+	4352667	4354701
2171	CG14132-RB	CG14132-RB	chr3L	-	11705329	11708382
2185	CG5961-RA	CG5961-RA	chr3R	-	8284141	8285908
2202	CG10131-RA	CG10131-RA	chr2R	+	10517418	10518526
2208	eEF1delta-RA	CG4912-RA	chr2L	+	10232512	10234450
2228	CG13252-RA	CG13252-RA	chr3L	+	20723692	20737629
